"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"GLP",2015,71.39707072821941055,2.66307835533094624
"GMB",2015,10.04047817066731451,0.0
"GNB",2015,12661.14172499909063284,20.67813985770779442
"GNQ",2015,7468.75394114504253058,36.14488285045165860
"GRC",2015,3840.12167256165427568,1612.67506957928450061
"GRD",2015,6.69800776481987887,0.07528963531684028
"GTM",2015,54234.32662031385823538,3429.91794812056016744
"GUF",2015,2867.50265188790394097,158.13448175747192539
"GUY",2015,13084.33196108421263243,2009.59286270409268607
"HND",2015,50242.86003416317049568,4666.36002393769234022
"HRV",2015,2669.048069553404184432,382.48540828741570120
"HTI",2015,3087.56479569296809673,162.02777779758466990
"HUN",2015,10717.816099716741372406,36.950986451475690886
"IDN",2015,1746464.32272709421859244,290247.83716009547243148
"IMN",2015,22.23253134836371903,0.36314079650173614
"IND",2015,109677.63578525593507714,652.41719073884876796
"IRL",2015,4484.214602160247574179,23.254775911410588830
"ISR",2015,51.33272802952800417,3.07673376193901908
"ITA",2015,14124.305235410587306154,696.471413992871443104
"JAM",2015,2903.31488265450441668,390.89435147686392277
"JEY",2015,0.20272486168402779,0.0
"JOR",2015,0.39158375156684027,0.13060907969292535
"JPN",2015,31145.146519331403838432,100.68931450598741718
"KAZ",2015,181.162293676829386385,1.420862520412326556
"KEN",2015,15615.42393174692340227,120.90703204020920251
"KHM",2015,132857.45294665505575667,215.17801551589138837
"KNA",2015,0.95667154614149306,0.0
"KOR",2015,17340.736699024916692874,171.26553857413739221
"LAO",2015,284935.14483813804602114,259.22613755575736014
"LBN",2015,173.61729878412547047,19.1466038013812939
"LBR",2015,186010.12845404904355991,331.69274332167700275
"LBY",2015,0.19478584988064239,0.0
"LCA",2015,7.17510660091471313,0.0
"LIE",2015,1.317510179370659781,0.0
"LKA",2015,7403.01519846428778567,46.88254625672608156
"LSO",2015,0.93445517565755218,0.0
"LTU",2015,15794.339392663919528978,9.041978453240019099
"LUX",2015,327.465311453554634072,0.04997650455078125
"LVA",2015,30829.686516238697874358,36.566503735980900416
"MAR",2015,951.99198590051850050,198.29666008589956541
"MDA",2015,495.681670907144119792,0.36546600228949653
"MDG",2015,301788.66122449863859183,15328.72655140576615874
"MEX",2015,197533.42181760215793766,25458.34954625492628661
"MKD",2015,784.328061529121285335,16.364714236569011334
"MLI",2015,204.15351593025063527,0.0
"MMR",2015,293305.17515602390329657,1420.22875467762258365
"MNE",2015,180.96339953500653350,5.88757992018012251
"MNG",2015,7145.32720551941146712,7026.58035311511346523
"MOZ",2015,181404.75417451170287055,3897.66219996672219312
"MSR",2015,0.14748139192708334,0.0
"MTQ",2015,31.57205200342122427,0.07448115639051649
"MWI",2015,10793.02663652510597769,19.29373042412380671
"MYS",2015,454490.82301311865695605,9729.90529679868452285
"MYT",2015,18.08987840803277145,0.0
"NAM",2015,6.01480415615017434,0.0
"NCL",2015,486.10100285992730004,73.13473485914171364
"NGA",2015,40927.69901921678838618,18.56806086520290986
"NIC",2015,35520.95409536408179841,1201.38905541253653686
"NLD",2015,894.199683206688614691,2.071591068012152876
"NOR",2015,36638.846185055881793546,140.721987530379793096
"NPL",2015,579.36620479625448788,10.22144328428710982
"NZL",2015,64002.905942321054432086,1459.653237060308242490
"PAK",2015,2.41608826049479172,0.0
"PAN",2015,10591.24318556574607054,342.16047570435196243
"PER",2015,166449.30988682745054611,7088.90272355034191218
"PHL",2015,65895.72467313562474698,796.53916752033530808
"PNG",2015,180806.79727651827126055,36207.03922142869474126
"POL",2015,42742.650945524557617182,53.15093198191624725
"PRI",2015,722.22412547998500589,15.74448128439127574
"PRK",2015,10851.636498171453843662,6751.80582446282838471
"PRT",2015,46096.374452029788142840,10782.083669456490879913
"PRY",2015,279304.28376332649136057,2790.01383078814270836
"PSE",2015,0.13028041131293402,0.0
"REU",2015,8.56222899716037448,0.0
"ROU",2015,10906.457073372697988210,14.06140307126085148
"RUS",2015,2332110.880528426835288635,1430796.383549675996600663
"RWA",2015,2216.79813322272268106,54.20881219855506162
"SDN",2015,8.05573739788953968,0.07599759097059462
"SEN",2015,293.57143339276071841,0.60141282592068145
"SGP",2015,155.05171350102453750,0.30763291248772516
"SLB",2015,14969.81737391289256061,607.27458885134585772
"SLE",2015,232761.73455490517162002,261.67061575247834582
"SLV",2015,2388.83423208954330846,147.91216067701228789
"SMR",2015,0.16727279608072917,0.0
"SOM",2015,65.91837287777766512,0.07691736421013726
"SRB",2015,2815.553182324304567159,19.847168094101562286
"SSD",2015,2459.85267347979653258,4.44401757485568593
"SUR",2015,11921.11899465264837345,1391.57454328180878061
"SVK",2015,5282.637665465017197425,4.556809549986978831
"SVN",2015,1023.409987927016106535,0.96451745417100695
"SWE",2015,216031.203833007128526828,856.100398735067313562
"SWZ",2015,3215.64274716867108911,41.57152224937282963
"SYR",2015,2393.17116919880145051,1079.62564247288961633
"TCA",2015,21.25021906216471073,1.07313444870117181
"TCD",2015,2591.36846149654540927,7.1610240024671776
"TGO",2015,935.64322382232993720,0.07627919548177084
"THA",2015,120750.33446018942635156,240.09494890238824053
"TLS",2015,862.91000529834384722,35.03270284098904993
"TTO",2015,668.19364098069034668,14.92351302903047452
"TUN",2015,1880.146494351640936325,1483.417747678456173045
"TUR",2015,27734.979706306149460956,963.61473304221414855
"TWN",2015,942.64104255487759928,0.49229569847439238
"TZA",2015,111960.15492413845816062,328.55082607270500092
"UGA",2015,54021.26520381982076953,2.07620905347725777
"UKR",2015,48913.807425310104569023,2335.961596591802288335
"URY",2015,17586.20347137029463139,121.50379981525932413
"USA",2015,2289653.113389575896872382,925082.882163483931251481
"VCT",2015,1.72356725350368945,0.0
"VEN",2015,61336.31437114776682160,5397.44670368769980318
"VIR",2015,0.2924751540169271,0.0
"VNM",2015,217883.25324113912713131,1277.15619611184150133
"VUT",2015,3476.16022819573199872,187.70505907679601280
"XAD",2015,10.5501553577560829,0.0
"XKO",2015,470.77986673415146744,9.8138747597439275
"Z01",2015,1.2928700611447481,0.382354634828559
"Z07",2015,6629.75325271808970161,57.38771490882921527
"ZAF",2015,70157.20182231300013406,14118.01357061072721991
"ZMB",2015,87182.03650196872771114,3518.96322090708250435
"ZNC",2015,30.5649816536675344,0.0
"ZWE",2015,12243.16522399926357662,166.09432459539387753
"AGO",2016,229690.74624210715027997,1580.67573832644148192
"ALA",2016,672.659233779654037044,2.62374758935546883
"ALB",2016,928.391161055958413756,284.20052618452622235
"AND",2016,0.62751082862630214,0.05703829234157986
"ARG",2016,230312.73650875787825561,22320.193973443325081112
"ARM",2016,30.04757964458984475,2.87133456283637162
"ATG",2016,14.42539973627495537,0.80879143625325528
"AUS",2016,430903.685525314339748048,282037.022542719804202600
"AUT",2016,17218.05507528901720479,45.95165657067925402
"AZE",2016,25.47520986746093913,7.564777573793401505
"BDI",2016,1575.87445005659558700,0.2305204349230957
"BEL",2016,4512.242798134465883475,25.519332294689670730
"BEN",2016,2010.49219854915925490,0.68670124012424046
"BFA",2016,0.0,0.0
"BGD",2016,21196.36906496458162768,21.82100016634114752
"BGR",2016,7394.709128121905850486,214.40906270559469467
"BHS",2016,3136.08465530682952942,1957.21703558469397182
"BIH",2016,2307.97952624853807478,155.90854475211806693
"BLR",2016,90486.781113949713672330,4850.910118753921310644
"BLZ",2016,20622.00170861508472600,4608.58397206422851464
"BOL",2016,470310.18685634327830218,111128.35314709977676341
"BRA",2016,5378610.27954842101351541,2377428.48333843330931018
"BRB",2016,14.31625898634656423,0.0
"BRN",2016,2572.50746276335350445,934.55655062742877570
"BTN",2016,1962.88365843909611373,155.39533550682189406
"BWA",2016,0.7276476864485678,0.0
"CAF",2016,51151.91741327133258522,10562.10967233435223891
"CAN",2016,2084425.778413676506659884,1052571.269049164767100510
"CHE",2016,1679.041702827028981155,5.620517255670573364
"CHL",2016,113778.735871742398467217,9108.709809727209209046
"CHN",2016,718775.12417065822979426,22217.825143320302312166
"CIV",2016,221124.46675084760265421,395.81035451630312832
"CMR",2016,116619.22980542616542892,824.95281048208294892
"COD",2016,1381503.69438783123745219,55990.50975296087724231
"COG",2016,114303.64306561805222009,34614.15732916764279426
"COL",2016,290868.25525595035740849,49285.26461664967664672
"COM",2016,124.36478813749130340,0.75242767982855906
"CRI",2016,13842.90738553458636797,1412.58160541756909282
"CUB",2016,74052.69806430403633729,3385.66600335535346456
"CUW",2016,2.4078543102473957,0.07525077769259983
"CYM",2016,70.06050036108617038,4.78681273331705748
"CYP",2016,568.91539414057696179,556.66192999934217533
"CZE",2016,22813.362239138125445815,50.75329196337239954
"DEU",2016,26876.854041791962027819,169.153488023637223524
"DMA",2016,7.12397675602756117,0.74173204205295140
"DNK",2016,4656.340520046437863653,27.620104063511304457
"DOM",2016,24907.91502003455329645,4560.78741182832371890
"DZA",2016,8011.360145269276372547,5835.006749076342100319
"ECU",2016,44091.18972161666692756,3392.76633447182871684
"EGY",2016,36.72802966209092880,0.3955895340885417
"ERI",2016,0.0,0.0
"ESP",2016,107562.184375920994414467,20719.339201791319454597
"EST",2016,36334.857226925246855089,106.617043603940979929
"ETH",2016,19581.64310748036286283,60.22302560656930028
"FIN",2016,240428.463171600256581050,1877.004567624598649517
"FJI",2016,8373.14087823585312257,881.77135618811327145
"FRA",2016,60768.520207220858998597,1980.03443930271864023
"GAB",2016,32150.61791553544302463,301.30757572670672753
"GBR",2016,28805.528633534275991709,293.302093108365864002
"GEO",2016,523.421991056024492199,37.883817424346791464
"GHA",2016,119243.18802523828256980,3641.30407962995843788
"GIN",2016,216012.56988878286823896,547.23296564129836173
"GLP",2016,70.02423404489359825,1.03647361550781284
"GMB",2016,5.1705412422634566,0.0
"GNB",2016,16120.29589289368298063,3.54345550394965300
"GNQ",2016,9545.24157246942502961,41.83574904827053821
"GRC",2016,6034.199903191730182278,3289.455943902878762488
"GRD",2016,59.44976265754394909,0.37616803741482204
"GTM",2016,178532.10785089151562263,53349.41920895489105883
"GUF",2016,6127.21134166533066345,464.95047991097167490
"GUY",2016,26512.36610154962477610,9892.88378776195528081
"HND",2016,188441.52687708181212652,41476.39510054165693545
"HRV",2016,5372.963121165213526340,151.348795135034676016
"HTI",2016,17266.93390706277655104,1742.00706847017597303
"HUN",2016,14018.768529787547694388,94.852630530614044646
"IDN",2016,2422066.01003015980722459,729189.12007086974441330
"IMN",2016,35.15682595964845184,0.5448875581380208
"IND",2016,164151.43744600407026749,965.92097739033873484
"IRL",2016,9390.417908621736291278,77.014617499485683473
"IRN",2016,2.4079650067860241,0.43052453828993057
"IRQ",2016,0.4917362710351563,0.061467762999131946
"ISR",2016,64.87129809018880980,4.02882532895616314
"ITA",2016,24717.648570403147915864,2733.190216494153357906
"JAM",2016,1991.53603095427380003,421.28998187829815050
"JPN",2016,54993.593113633708348691,854.33835400854262347
"KAZ",2016,1288.550612204612095167,184.606819407452114032
"KEN",2016,19048.53768581156199968,96.36534445865923767
"KGZ",2016,11.524777086558156234,4.107038169214410309
"KHM",2016,182885.56911822070915094,1111.07138771943197210
"KNA",2016,8.38889596200520545,0.0
"KOR",2016,22557.676790991059804159,548.280206109550809050
"LAO",2016,387635.12058193724448105,858.61171423650166825
"LBN",2016,266.27434058727855083,41.50949860311414863
"LBR",2016,168586.20027322790015755,1535.48173944389068229
"LBY",2016,0.519489630767144,0.0
"LCA",2016,107.17038489836425988,0.67253284188205293
"LIE",2016,4.32166223252821133,0.0
"LKA",2016,17489.89708803594899503,244.18334458908203753
"LSO",2016,15.27565188290364729,0.26813037973632812
"LTU",2016,25531.687123815489440616,131.68775525770400689
"LUX",2016,520.779825470692240895,8.33416952507378545
"LVA",2016,44945.417140954705970760,134.407808787122396245
"MAR",2016,2041.20256722039050983,735.66969838673145859
"MDA",2016,832.901403775822663145,3.94194931181206600
"MDG",2016,383655.55238433104492483,18799.94849288377326345
"MEX",2016,273930.38997322303244496,43030.28829981251308554
"MKD",2016,1496.246433181820633525,51.966846172584636881
"MLI",2016,204.828311032083024,0.0
"MMR",2016,362552.39113489622369772,1919.19479126993268573
"MNE",2016,1119.527122834036233836,106.512612486901022606
"MNG",2016,4142.11333017930558175,3315.526580539300519804
"MOZ",2016,250565.43399179847169353,4615.50147719517543959
"MSR",2016,6.26859342457573875,0.0
"MTQ",2016,26.05926787527941419,0.29814630859863283
"MWI",2016,13529.99599562918077585,84.90837794426459978
"MYS",2016,565553.11044824723099026,20412.44438603734540891
"MYT",2016,83.46931421060824456,0.0
"NAM",2016,1.3206881883474393,0.0
"NCL",2016,1323.90859335315585075,671.19286547316711561
"NER",2016,0.0,0.0
"NGA",2016,72189.61579178817940574,198.31624384441544812
"NIC",2016,142379.30626406043861716,11933.50487564867003873
"NLD",2016,1406.590169168572549791,20.682838611217449294
"NOR",2016,60081.686029667330672347,507.700127289034333219
"NPL",2016,998.51341691893138686,91.84293600973312568
"NZL",2016,80359.090741890509164840,4012.039770937031816321
"PAN",2016,17378.39353603188616160,3015.22799327269372770
"PER",2016,230953.45026313690561053,18997.59348731124208565
"PHL",2016,129109.10682689801883814,2947.87313905664777063
"PNG",2016,177924.94011419178497003,48662.70166867427629910
"POL",2016,86510.723643151682804746,376.434895169008276042
"PRI",2016,599.27468304287000736,10.24705198386501765
"PRK",2016,11487.23497701891624981,2192.12119245451879581
"PRT",2016,94645.800976135647153080,34808.113529544530559422
"PRY",2016,319793.17429244991631536,10335.28122911638607970
"PSE",2016,0.0,0.0
"REU",2016,7.40461717919596415,0.0
"ROU",2016,23045.408908887125826566,324.56613116857232767
"RUS",2016,5051685.620462661869024562,3712802.456901785434874130
"RWA",2016,2777.59499939311485791,2.22956197170105021
"SDN",2016,26.6771069123795487,0.1520050022357856
"SEN",2016,254.40699072081998031,0.0
"SGP",2016,154.43653726307523971,2.30741340192267537
"SLB",2016,17992.60317252857422186,970.53594283282037999
