"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"SOM",2020,154.51877993220295661,36185.373940382116674
"SPM",2020,1.4859383276866316,0.0
"SRB",2020,4987.053400959844373229,2666263.977818882882568
"SSD",2020,2326.22676357332561738,1095199.357359180789115
"SUR",2020,15095.85336916831873638,11310641.677565281571053
"SVK",2020,11947.850559567848436069,6993845.982492789604351
"SVN",2020,3874.40940942001987635,2334210.014817129243442
"SWE",2020,339968.339891257514619414,97195333.7560548158602146
"SWZ",2020,2684.09113614353122878,1722603.159579381138758
"SYR",2020,3037.67036048139189043,638190.109164091295938
"TCA",2020,34.41261375366969476,10978.694995032048467
"TCD",2020,3433.48961585372801790,1074544.915531648159954
"TGO",2020,5446.29695028422229605,3168297.846337259070728
"THA",2020,119391.72305411407229167,78590911.918627340722548
"TJK",2020,0.4276713535351563,127.2529363480884835
"TLS",2020,1459.02023857232235035,757622.164515901854245
"TTO",2020,859.98702567581500221,504939.412564709061802
"TUN",2020,1062.227097201835737724,210175.339267601310641
"TUR",2020,45348.463610691258023820,15988571.091888889828285
"TWN",2020,1461.49965451779007082,870365.757182138308302
"TZA",2020,186208.95467037344570030,69947244.997324690747738
"UGA",2020,73601.53457729756604441,35904963.894033234980644
"UKR",2020,79461.177611406860494886,28980871.895102247018917
"URY",2020,12732.70047145084438756,8799085.837385863417354
"USA",2020,1966726.693712247954137072,932685423.9405754787037098
"UZB",2020,3.18195054995442692,1119.595231356859112
"VCT",2020,7.1195963574213337,4531.74919079435227
"VEN",2020,139221.40839570024968791,67291721.371996820294599
"VGB",2020,0.07308887034722222,27.72435187783638
"VIR",2020,14.00582780646592955,5558.242762619320760
"VNM",2020,207647.83186279583272049,157081750.239350168401376
"VUT",2020,3935.03410784822126373,2479161.54099859288844
"XAD",2020,1.144118643576389,654.0796203670368
"XKO",2020,970.674474934084188036,535346.2099931126247175
"Z01",2020,41.27344476414822184,27941.85808804175853
"Z06",2020,2.26615802366970497,682.121854656286221
"Z07",2020,6819.31678247422259826,3701697.619995329924200
